"email date","amount","order date","type","driver name","booking code","pickup location","drop off","payment method","your email address","issued to"
"10 Mar 2017 10:37","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:38","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:39","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:40","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:41","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:42","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:43","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:44","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:45","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:46","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:47","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:48","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:49","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:50","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:51","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:52","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:53","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
"10 Mar 2017 10:54","RM 45","20-03-2017 10:08:08","GrabCar+ (Premium)","Deniel","IOS-5502561-2-123","Jalan PJU 1a/41, Ara Damansara, 4730, Selangor","Menara Sunway, Jalan Lagoon Selatan, Bandar Sunway, 4615, Selangor","Cash","deniel.ariesta@gmail.com","Deniel Ariesta"
